"total distance of drones";"distance per drone";"tick"
6084.785522517993;760.5981903147491;583.0
6087.046661429745;760.8808326787181;585.0
6089.43298681432;761.17912335179;587.0
6091.8141494713855;761.4767686839232;589.0
6093.593136911902;761.6991421139877;591.0
6095.725492968042;761.9656866210053;593.0
6097.788988433181;762.2236235541476;595.0
6098.89122619748;762.361403274685;597.0
6099.602935697106;762.4503669621382;599.0
6100.690297510977;762.5862871888721;601.0
6101.388609600773;762.6735762000966;603.0
6102.320515180914;762.7900643976143;605.0
6103.222695042672;762.902836880334;607.0
6103.842310714397;762.9802888392996;609.0
6104.1835938280265;763.0229492285033;611.0
6105.168332160957;763.1460415201196;613.0
6105.80882892334;763.2261036154175;615.0
6106.412697792583;763.3015872240728;617.0
6106.7570600216695;763.3446325027087;619.0
6107.416969210918;763.4271211513648;621.0
6108.395260424643;763.5494075530804;623.0
6108.946174491637;763.6182718114546;625.0
6109.312326448236;763.6640408060294;627.0
6110.002204694868;763.7502755868585;629.0
6110.910731494067;763.8638414367583;631.0
6111.433282876237;763.9291603595296;633.0
6111.819232171599;763.9774040214498;635.0
6112.897395705242;764.1121744631553;637.0
6113.590603736204;764.1988254670255;639.0
6114.871364192531;764.3589205240663;641.0
6115.445260227384;764.430657528423;643.0
6115.970072798761;764.4962590998451;645.0
6116.721254624556;764.5901568280696;647.0
6117.823549165658;764.7279436457072;649.0
6118.627316536118;764.8284145670148;651.0
6119.551494800199;764.9439368500249;653.0
6121.015126767129;765.1268908458911;655.0
6122.671978524635;765.3339973155794;657.0
6124.5522597346635;765.5690324668329;659.0
6126.7330945308295;765.8416368163537;661.0
6129.732710157896;766.216588769737;663.0
6133.522508230412;766.6903135288015;665.0
6137.9938092482325;767.2492261560291;667.0
6141.866462103008;767.733307762876;669.0
6146.412642729421;768.3015803411777;671.0
6151.046616623089;768.8808270778861;673.0
6155.35225805258;769.4190322565725;675.0
6159.444927863446;769.9306159829307;677.0
6163.909102959858;770.4886378699822;679.0
6168.795178602707;771.0993973253384;681.0
6172.692782878343;771.5865978597928;683.0
6176.165616377407;772.0207020471759;685.0
6180.025322613749;772.5031653267187;687.0
6183.441175362743;772.9301469203428;689.0
6186.143954240592;773.267994280074;691.0
6188.392598950523;773.5490748688154;693.0
6190.8300887806645;773.8537610975831;695.0
6193.486838008553;774.1858547510691;697.0
6196.364635983836;774.5455794979795;699.0
6198.279153845741;774.7848942307177;701.0
6200.487491207963;775.0609364009954;703.0
6203.338998080393;775.4173747600491;705.0
6205.313625652543;775.6642032065679;707.0
6206.7664741364715;775.8458092670589;709.0
6207.5835736355975;775.9479467044497;711.0
6208.100508754643;776.0125635943303;713.0
6208.700390410357;776.0875488012946;715.0
6209.681059673195;776.2101324591493;717.0
6210.846936529749;776.3558670662186;719.0
