"Current Speed of Drones";"tick"
0.8294438837053378;605.0
0.3105979530723815;607.0
0.2595640437202672;609.0
0.24327057856047055;611.0
0.7385505147971136;613.0
0.3165576281212656;615.0
0.24982111922219746;617.0
0.25284408008169806;619.0
0.32298380795671033;621.0
0.7313032278266218;623.0
0.21700127131842004;625.0
0.2852093267681378;627.0
0.3283299206083461;629.0
0.31450819284873;631.0
0.19938572175653735;633.0
0.3026396756019235;635.0
0.7964608693566511;637.0
0.6965851546592667;639.0
0.6673384188749343;641.0
0.30938203331522873;643.0
0.34854052938449204;645.0
0.3432933838689705;647.0
0.6850207912324404;649.0
0.32908972544155624;651.0
0.8246002433793553;653.0
0.928342983714635;655.0
1.0721819622264288;657.0
1.2073728873851188;659.0
1.4638694712949492;661.0
2.0065385500719892;663.0
2.4836506938501155;665.0
2.8925526545001716;667.0
2.264625464480396;669.0
3.0483099966414864;671.0
2.8454436825899925;673.0
2.6390834049431033;675.0
2.582528200630179;677.0
2.8581474063200734;679.0
3.117450489876516;681.0
2.06314880052321;683.0
2.4004707734147983;685.0
2.397487941689361;687.0
1.9063844894257878;689.0
1.4751660292279287;691.0
1.319141530223319;693.0
1.4493500007819853;695.0
1.5886044868388352;697.0
1.7265062716282118;699.0
0.8853571322967043;701.0
1.444009402128152;703.0
1.5846543681479703;705.0
1.2496852741605813;707.0
0.9250700895247962;709.0
0.4574369844650754;711.0
0.3200906195049861;713.0
0.4359957757834482;715.0
0.6706320902254538;717.0
0.7684072962617721;719.0
0.8837308370215277;721.0
1.1139615051787162;723.0
1.3870748043082626;725.0
1.649516862204298;727.0
1.879359099166553;729.0
2.0698927531046345;731.0
2.222172817846109;733.0
2.340958756670191;735.0
2.4322870521244275;737.0
2.502107892334936;739.0
2.1769767435131233;741.0
2.3247271682186668;743.0
2.046614415826774;745.0
1.7779869748957184;747.0
2.03350146215201;749.0
1.8269970781494211;751.0
1.6655521808433646;753.0
1.5368723541781522;755.0
1.4330462833162223;757.0
1.3476588802798952;759.0
1.2714385978308336;761.0
1.184009897989908;763.0
1.077873714891869;765.0
1.084831311030565;767.0
1.036463804063639;769.0
0.9069521605678355;771.0
0.7111919507115454;773.0
0.5253268153628036;775.0
0.5195703335577582;777.0
0.824907094193722;779.0
0.6841013997203413;781.0
1.1136007766667684;783.0
1.0419169791891838;785.0
1.3799022742744995;787.0
